vies,fracao_jogos,probabilidade_vitoria
-0.9,0.1,1.000
-0.9,0.2,1.000
-0.9,0.3,1.000
-0.9,0.4,.800
-0.9,0.5,.300
-0.9,0.6,0
-0.9,0.7,0
-0.9,0.8,0
-0.9,0.9,0
-0.8,0.1,1.000
-0.8,0.2,1.000
-0.8,0.3,1.000
-0.8,0.4,.600
-0.8,0.5,.600
-0.8,0.6,.100
-0.8,0.7,0
-0.8,0.8,0
-0.8,0.9,0
-0.7,0.1,1.000
-0.7,0.2,1.000
-0.7,0.3,1.000
-0.7,0.4,.900
-0.7,0.5,.400
-0.7,0.6,.100
-0.7,0.7,0
-0.7,0.8,0
-0.7,0.9,0
-0.6,0.1,1.000
-0.6,0.2,1.000
-0.6,0.3,1.000
-0.6,0.4,1.000
-0.6,0.5,.600
-0.6,0.6,.100
-0.6,0.7,0
-0.6,0.8,0
-0.6,0.9,0
-0.5,0.1,1.000
-0.5,0.2,1.000
-0.5,0.3,1.000
-0.5,0.4,1.000
-0.5,0.5,.800
-0.5,0.6,.200
-0.5,0.7,.100
-0.5,0.8,0
-0.5,0.9,0
-0.4,0.1,1.000
-0.4,0.2,1.000
-0.4,0.3,1.000
-0.4,0.4,1.000
-0.4,0.5,.900
-0.4,0.6,.300
-0.4,0.7,0
-0.4,0.8,0
-0.4,0.9,0
-0.3,0.1,1.000
-0.3,0.2,1.000
-0.3,0.3,1.000
-0.3,0.4,1.000
-0.3,0.5,1.000
-0.3,0.6,.500
-0.3,0.7,.400
-0.3,0.8,0
-0.3,0.9,0
-0.2,0.1,1.000
-0.2,0.2,1.000
-0.2,0.3,1.000
-0.2,0.4,1.000
-0.2,0.5,.800
-0.2,0.6,.800
-0.2,0.7,.300
-0.2,0.8,.100
-0.2,0.9,0
-0.1,0.1,1.000
-0.1,0.2,1.000
-0.1,0.3,1.000
-0.1,0.4,1.000
-0.1,0.5,.900
-0.1,0.6,1.000
-0.1,0.7,.600
-0.1,0.8,.400
-0.1,0.9,.200
0.0,0.1,1.000
0.0,0.2,1.000
0.0,0.3,1.000
0.0,0.4,1.000
0.0,0.5,1.000
0.0,0.6,.900
0.0,0.7,.700
0.0,0.8,.400
0.0,0.9,.200
0.1,0.1,1.000
0.1,0.2,1.000
0.1,0.3,1.000
0.1,0.4,1.000
0.1,0.5,1.000
0.1,0.6,1.000
0.1,0.7,.700
0.1,0.8,.800
0.1,0.9,.500
0.2,0.1,1.000
0.2,0.2,1.000
0.2,0.3,1.000
0.2,0.4,1.000
0.2,0.5,1.000
0.2,0.6,1.000
0.2,0.7,1.000
0.2,0.8,1.000
0.2,0.9,.800
0.3,0.1,1.000
0.3,0.2,1.000
0.3,0.3,1.000
0.3,0.4,1.000
0.3,0.5,1.000
0.3,0.6,1.000
0.3,0.7,1.000
0.3,0.8,.900
0.3,0.9,.900
0.4,0.1,1.000
0.4,0.2,1.000
0.4,0.3,1.000
0.4,0.4,1.000
0.4,0.5,1.000
0.4,0.6,1.000
0.4,0.7,1.000
0.4,0.8,1.000
0.4,0.9,1.000
0.5,0.1,1.000
0.5,0.2,1.000
0.5,0.3,1.000
0.5,0.4,1.000
0.5,0.5,1.000
0.5,0.6,1.000
0.5,0.7,1.000
0.5,0.8,1.000
0.5,0.9,1.000
0.6,0.1,1.000
0.6,0.2,1.000
0.6,0.3,1.000
0.6,0.4,1.000
0.6,0.5,1.000
0.6,0.6,1.000
0.6,0.7,1.000
0.6,0.8,1.000
0.6,0.9,1.000
0.7,0.1,1.000
0.7,0.2,1.000
0.7,0.3,1.000
0.7,0.4,1.000
0.7,0.5,1.000
0.7,0.6,1.000
0.7,0.7,1.000
0.7,0.8,1.000
0.7,0.9,1.000
0.8,0.1,1.000
0.8,0.2,1.000
0.8,0.3,1.000
0.8,0.4,1.000
0.8,0.5,1.000
0.8,0.6,1.000
0.8,0.7,1.000
0.8,0.8,1.000
0.8,0.9,1.000
0.9,0.1,1.000
0.9,0.2,1.000
0.9,0.3,1.000
0.9,0.4,1.000
0.9,0.5,1.000
0.9,0.6,1.000
0.9,0.7,1.000
0.9,0.8,1.000
0.9,0.9,1.000
